Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
33,As you stroll through a moist forest you are most likely to see a _______.,Multiple Choice,Zygote of a green alga,Gametophyte of a moss,Sporophyte of a liverwort,Gametophyte of a fern,,2,
34,Which of these are spore-producing structures?,Multiple Choice,Sporophyte (capsule) of a moss,Antheridium of a moss or fern,Archegonium of a moss or fern,All of these answers apply.,,1,
35,"Liverworts, hornworts, and mosses are grouped together as the bryophytes. Besides not having vascular tissue, what do they all have in common?",Multiple Choice,Swimming sperm for reproduction,Antheridia and archegonia for gamete production,Low sprawling growth habit,Ability to desiccate and rehydrate with no ill effects,All of these answers apply.,5,
36,What is true about the genus Sphagnum?,Multiple Choice,It is an economically important liverwort.,It grows in extensive mats in grassland areas.,It is used by gardeners as a fertilizer.,It accumulates to form coal and is burned as a fuel.,It is an important carbon sink reducing atmospheric CO2.,5,
37,An important fossil fuel is coal much of which was formed when _______.,Multiple Choice,Northern-latitude bogs accumulated peat.,Ancient angiosperms got buried under volcanic ash.,Huge gymnosperms were flooded by an inland sea.,Extensive forests of seedless vascular plants were buried and compressed.,All of these answers apply.,4,
38,How are the bryophytes and seedless vascular plants alike?,Multiple Choice,Plants in both groups have vascular tissue.,In both groups sperm swim from antheridia to archegonia.,The dominant generation in both groups is the sporophyte.,Plants in both groups have true roots stems and leaves.,All of these answers apply.,2,
39,The closest relatives of the familiar pine and spruce trees are _______.,Multiple Choice,"Ferns, horsetails, lycophytes, and club mosses","Hornworts, liverworts, and mosses","Gnetophytes, cycads, and ginkgoes","Elms, maples, and aspens",,3,
40,How are gymnosperms and angiosperms similar?,Multiple Choice,Plants in both groups have flowers and fruits.,Plants in both groups have cones that produce pollen and seeds.,Plants in both groups produce seeds and pollen.,Plants in both groups lack vascular tissue.,,3,
41,Immature seed cones of conifers are usually green before pollination and flowers of grasses are inconspicuously colored. What does this indicate about their pollination?,Multiple Choice,They self-fertilize and do not need pollen carried from one plant to another.,Their pollinating insects are color blind.,They are wind pollinated.,They probably attract pollinators using strong fragrances.,,3,
42,Where are you least likely to see green algae?,Multiple Choice,As pink snow in the mountains in summer,Growing symbiotically with fungi in lichens or with some invertebrate animals,Growing independently on dry rock in meadows,Growing independently on wet rock in ponds and lakes,Floating in seas and oceans,3,
43,In general liverworts have a cuticle and pores. However some species do not have pores. What would you predict concerning the cuticle of these species and why?,Multiple Choice,The cuticle would be the same as in those species with pores.,The cuticle would be thicker than in those species with pores.,The cuticle would be thinner than in those species with pores.,There is not enough information to make a prediction.,,3,
44,Which group is the most diverse of the seedless vascular plants?,Multiple Choice,Club mosses,Horsetails,Ferns,Ginkgoes,,3,
45,Conifers and pines both have needlelike leaves. Why might their leaves be of this type?,Multiple Choice,To increase surface area for photosynthesis,To increase surface area for gas exchange,To decease surface area for gas exchange,To decrease surface area for water loss,,4,
46,The most basal lineages of land plants include _______.,Multiple Choice,"Lycophyta, Psilotophyta, and Pteridophyta","Hepaticophyta, Anthocerophyta, and Bryophyta","Spenophyta, Charaphyaceae, and Bryophyta","Cycadophyta, Ginkophyta, and Gnetophyta",,2,
47,Which of the following possess stomata?,Multiple Choice,Ulvophyceae,Hepaticophyta,Charaphyaceae,Anthocerophyta,All of these answers apply.,4,
48,Which is the most diverse group of land plants?,Multiple Choice,Angiosperms,Pines,Gymnosperms,Ferns,,1,
49,Why have seed banks been established?,Multiple Choice,To serve as a store of genetic diversity of crop plants,To serve as a store of seeds for the next growing seasons,To serve as a store of seeds before they are sold at market,All of these answers apply.,,1,
50,Use The Following Information When Answering The Corresponding Question(S). Scarlet Gilia (Ipomopsis Aggregata) Usually Has Red Flowers In An Inflorescence Of Up To 250 Flowers. In Certain Populations In The Arizona Mountains However The Flowers Range From Red To Pink To White. In Early Summer Most Of The Flowers Were Red. Six To Eight Weeks Later The Same Individual Plants Were Still Present; The Flowers Ranged From Pink To White And Few Red Flowers Were Present. The Major Pollinators Early In The Season Were Two Species Of Hummingbirds Active During The Day; They Emigrated To Lower Elevations And The Major Pollinator Later In The Season Was A Hawk Moth (A Type Of Moth). The Hawk Moth Was Most Active At Sunset And Later And It Preferred Light Pink To White Flowers After Dark. When Hummingbirds Were Present More Red Flowers Than White Flowers Produced Fruit. When Only Hawk Moths Were Present More White Flowers Produced Fruit (K. N. Paige And T. G. Whitham. 1985. Individual And Population Shifts In Flower Color By Scarlet Gilia: A Mechanism For Pollinator Tracking. Science 227:315-17).      What is the significance of measuring fruit production?,Multiple Choice,It is a measure of pollination success.,It is a measure of seed dispersal success.,It is easier than counting flowers.,It is an indication of predation on the seeds of the plants.,,1,
51,Use The Following Information When Answering The Corresponding Question(S). Scarlet Gilia (Ipomopsis Aggregata) Usually Has Red Flowers In An Inflorescence Of Up To 250 Flowers. In Certain Populations In The Arizona Mountains However The Flowers Range From Red To Pink To White. In Early Summer Most Of The Flowers Were Red. Six To Eight Weeks Later The Same Individual Plants Were Still Present; The Flowers Ranged From Pink To White And Few Red Flowers Were Present. The Major Pollinators Early In The Season Were Two Species Of Hummingbirds Active During The Day; They Emigrated To Lower Elevations And The Major Pollinator Later In The Season Was A Hawk Moth (A Type Of Moth). The Hawk Moth Was Most Active At Sunset And Later And It Preferred Light Pink To White Flowers After Dark. When Hummingbirds Were Present More Red Flowers Than White Flowers Produced Fruit. When Only Hawk Moths Were Present More White Flowers Produced Fruit (K. N. Paige And T. G. Whitham. 1985. Individual And Population Shifts In Flower Color By Scarlet Gilia: A Mechanism For Pollinator Tracking. Science 227:315-17).           To perform this study [on Scarlet Gilia] the researchers needed to count _______.,Multiple Choice,The number of red flowers.,The number of pink and white flowers.,The number of hummingbirds.,The number of hawk moths.,All of these answers apply.,5,
52,Use The Following Information When Answering The Corresponding Question(S). Scarlet Gilia (Ipomopsis Aggregata) Usually Has Red Flowers In An Inflorescence Of Up To 250 Flowers. In Certain Populations In The Arizona Mountains However The Flowers Range From Red To Pink To White. In Early Summer Most Of The Flowers Were Red. Six To Eight Weeks Later The Same Individual Plants Were Still Present; The Flowers Ranged From Pink To White And Few Red Flowers Were Present. The Major Pollinators Early In The Season Were Two Species Of Hummingbirds Active During The Day; They Emigrated To Lower Elevations And The Major Pollinator Later In The Season Was A Hawk Moth (A Type Of Moth). The Hawk Moth Was Most Active At Sunset And Later And It Preferred Light Pink To White Flowers After Dark. When Hummingbirds Were Present More Red Flowers Than White Flowers Produced Fruit. When Only Hawk Moths Were Present More White Flowers Produced Fruit (K. N. Paige And T. G. Whitham. 1985. Individual And Population Shifts In Flower Color By Scarlet Gilia: A Mechanism For Pollinator Tracking. Science 227:315-17).            Late in the season when only hawk moths were present researchers painted the red flowers white. What would you expect?,Multiple Choice,Unpainted red flowers would produce more fruits than white flowers would.,Red flowers painted white would produce more fruits than red flowers would.,Red and white flowers would produce the same numbers of fruits.,,,2,
53,Use The Following Information When Answering The Corresponding Question(S). Scarlet Gilia (Ipomopsis Aggregata) Usually Has Red Flowers In An Inflorescence Of Up To 250 Flowers. In Certain Populations In The Arizona Mountains However The Flowers Range From Red To Pink To White. In Early Summer Most Of The Flowers Were Red. Six To Eight Weeks Later The Same Individual Plants Were Still Present; The Flowers Ranged From Pink To White And Few Red Flowers Were Present. The Major Pollinators Early In The Season Were Two Species Of Hummingbirds Active During The Day; They Emigrated To Lower Elevations And The Major Pollinator Later In The Season Was A Hawk Moth (A Type Of Moth). The Hawk Moth Was Most Active At Sunset And Later And It Preferred Light Pink To White Flowers After Dark. When Hummingbirds Were Present More Red Flowers Than White Flowers Produced Fruit. When Only Hawk Moths Were Present More White Flowers Produced Fruit (K. N. Paige And T. G. Whitham. 1985. Individual And Population Shifts In Flower Color By Scarlet Gilia: A Mechanism For Pollinator Tracking. Science 227:315-17).          Some plants changed their flowers to lighter colors and some retained the same darker color all season. Which plants do you expect produced more fruit?,Multiple Choice,Those that changed their color to a lighter shade,Those that stayed darker,They probably produced the same numbers of fruit.,,,1,
54,Use The Following Information When Answering The Corresponding Question(S). Scarlet Gilia (Ipomopsis Aggregata) Usually Has Red Flowers In An Inflorescence Of Up To 250 Flowers. In Certain Populations In The Arizona Mountains However The Flowers Range From Red To Pink To White. In Early Summer Most Of The Flowers Were Red. Six To Eight Weeks Later The Same Individual Plants Were Still Present; The Flowers Ranged From Pink To White And Few Red Flowers Were Present. The Major Pollinators Early In The Season Were Two Species Of Hummingbirds Active During The Day; They Emigrated To Lower Elevations And The Major Pollinator Later In The Season Was A Hawk Moth (A Type Of Moth). The Hawk Moth Was Most Active At Sunset And Later And It Preferred Light Pink To White Flowers After Dark. When Hummingbirds Were Present More Red Flowers Than White Flowers Produced Fruit. When Only Hawk Moths Were Present More White Flowers Produced Fruit (K. N. Paige And T. G. Whitham. 1985. Individual And Population Shifts In Flower Color By Scarlet Gilia: A Mechanism For Pollinator Tracking. Science 227:315-17).               Why do hummingbirds emigrate from this population of scarlet gilia?,Multiple Choice,The flowers probably change their nectar production.,The flowers change from red to white and the hummingbirds can't see them.,It gets darker on the mountainside and the hummingbirds migrate to lower elevations where it stays light longer.,There is not enough information presented to answer this question.,,4,
Problem 1,What important role does lignin play in vascular plants?,Multiple Choice,It is the major component of the cuticle which prevents plants from drying out.,It forms the outer layer of pollen grains.,It forms the tough rigid cell walls of water-conducting cells.,It nourishes the embryo in seed plants.,,3,
Problem 2,The appearance of cuticle and stomata correlated with what event in the evolution of green plants?,Multiple Choice,The first upright growth forms,The first woody tissues,Growth on land,The evolution of the first water-conducting tissues,,3,
Problem 3,What is a pollen grain?,Multiple Choice,sperm-producing gametophyte,egg-producing gametophyte,sperm-producing sporophyte,sperm,,1,
Problem 4,Evaluate the following statements regarding seeds. Select True or False for each statement. They contain an embryo.,True/False,TRUE,FALSE,,,,1,
Problem 4,Evaluate the following statements regarding seeds. Select True or False for each statement. They contain nutritive tissue for the embryo.,True/False,TRUE,FALSE,,,,1,
Problem 4,Evaluate the following statements regarding seeds. Select True or False for each statement. They consist entirely of diploid cells.,True/False,TRUE,FALSE,,,,2,
Problem 4,Evaluate the following statements regarding seeds. Select True or False for each statement. They are also referred to as spores.,True/False,TRUE,FALSE,,,,2,
Problem 5,What does it mean to say that a life cycle is gametophyte dominant versus sporophyte dominant?,Short Answer,In a gametophyte-dominant life cycle (e.g.  mosses)  the multicellular haploid phase (gametophyte) is larger  longer-lived  and produces most of the food; the sporophyte is small  short-lived  and nutritionally dependent on the gametophyte. In a sporophyte-dominant life cycle (e.g.  ferns and seed plants)  the multicellular diploid phase (sporophyte) is much larger and longer-lived  while the gametophyte is reduced  microscopic  and often short-lived.,,,,,1,
Problem 6,Describe how green plants affect the abiotic environment in ways that are advantageous to humans.,Short Answer,Green plants produce oxygen via photosynthesis  which is essential for human respiration. They build and hold soil  preventing erosion. Plants also retain water and moderate local climate by providing shade and humidity. Furthermore  they act as primary producers in the carbon cycle  taking CO₂ from the atmosphere  which helps mitigate global climate change.,,,,,1,
Problem 7,Describe the challenge presented by the cuticle and explain why stomata represent a solution. Compare stomata with liverwort pores.,Short Answer,The cuticle is a waxy sealant that prevents water loss but also blocks the absorption of CO₂ necessary for photosynthesis. Stomata solve this by creating openings (pores) bordered by guard cells that can open to allow gas exchange and close to prevent water loss. Unlike stomata  the pores found in liverworts lack guard cells and cannot close to regulate water loss.,,,,,1,
Problem 8,Explain the difference between homosporous and heterosporous plants. Where are micro/megasporangium in a tulip?,Short Answer,Homosporous plants produce a single type of spore that develops into a bisexual gametophyte (producing both eggs and sperm)  whereas heterosporous plants produce two distinct types of spores: microspores (which develop into male gametophytes) and megaspores (which develop into female gametophytes). In a tulip (an angiosperm)  microsporangia are found in the anthers of the stamen  and megasporangia are located inside the ovules within the ovary of the carpel.,,,,,1,
Problem 9,Why might a species 'revert' to wind pollination? Why grow in dense stands?,Short Answer,A species might revert to wind pollination to save the energy costs associated with producing nectar and showy petals required to attract animal pollinators. Wind-pollinated species often grow in dense stands to maximize the probability that pollen released into the air will land on a receptive stigma of the same species.,,,,,1,
Problem 11,What conclusions can be drawn about the role of springtails during the reproductive cycle of the mosses?,Short Answer,Based on the experimental data  springtails significantly facilitate fertilization in mosses  particularly over distances. Patches of moss with springtails present produced significantly more sporophytes at distances of 2 cm and 4 cm compared to patches without springtails  where zero sporophytes were produced at 4 cm.,,,,,1,
Problem 12,What structure do moss sperm use for motility and how does that reflect the evolution of land plants?,Short Answer,Moss sperm use flagella to swim to the egg. This reflects the evolutionary origin of land plants from aquatic green algae  where motile sperm were necessary to swim through water to achieve fertilization.,,,,,1,
Problem 14c,A friend claims that eggs in mosses are fertilized by spores. What is wrong with that statement?,Short Answer,Spores are single haploid cells that divide by mitosis to grow into a multicellular gametophyte; they do not fuse with other cells. Fertilization is the fusion of gametes (sperm and egg)  not spores.,,,,,1,
Problem 16,Did animal-mediated fertilization originate with flowering plants or earlier?,Short Answer,It likely originated earlier. While typically associated with angiosperms  recent evidence (such as the springtail case study) suggests that mosses  which are nonvascular plants that evolved much earlier than angiosperms  can also utilize animals (springtails) to transfer sperm.,,,,,1,
Problem 10,Design an experiment to determine which factor (color size shape scent nectar) is most important in attracting pollinators.,Short Answer,To test this  select a specific orchid species and manipulate one variable at a time while keeping others constant. For example  use dye to change flower color  remove nectar with a syringe  or mask scent chemically. Place modified and control flowers in the field and observe pollinator visitation rates. The factor whose alteration causes the significant drop in visitation is likely the most important attractant.,,,,,1,
Problem 13,What other evidence would be useful when drawing conclusions about the role of springtails in moss reproduction?,Short Answer,Useful evidence would include microscopic observation of sperm adhering to the bodies of springtails  video recordings of springtails moving between male and female gametophytes  or genetic analysis of the sporophytes to confirm that the sperm source was indeed from the distant male patches.,,,,,1,
Problem 15,Besides springtails are there other ways moss sperm may be transferred from male to female gametophytes?,Short Answer,Yes  moss sperm can be transferred via raindrops splashing them from antheridia to archegonia  or by swimming through a continuous film of water connecting the plants.,,,,,1,
